year	cnt	yield
2015	BE	9.95
2015	BG	4.42
2015	CZ	5.88
2015	DK	6.6
2015	DE	7.33
2015	EE	4.1
2015	IE	8.88
2015	GR	4.16
2015	ES	3.11
2015	FR	7.6
2015	HR	5.92
2015	IT	5.57
2015	CY	2.1
2015	LV	3.89
2015	LT	4.1
2015	LU	5.77
2015	HU	5.21
2015	NL	9.42
2015	AT	6.04
2015	PL	3.8
2015	PT	4.39
2015	RO	3.18
2015	SI	6.13
2015	SK	5.23
2015	FI	3.24
2015	SE	5.96
2015	GB	7.85
2016	BE	7.44
2016	BG	4.94
2016	CZ	6.24
2016	DK	5.75
2016	DE	7.12
2016	EE	2.98
2016	IE	8.18
2016	GR	3.65
2016	ES	3.85
2016	FR	5.72
2016	HR	6.48
2016	IT	5.36
2016	CY	2.17
2016	LV	3.52
2016	LT	3.95
2016	LU	5.59
2016	HU	6.47
2016	NL	7.81
2016	AT	7.2
2016	PL	3.83
2016	PT	4.16
2016	RO	3.51
2016	SI	6.48
2016	SK	6.03
2016	FI	3.58
2016	SE	5.42
2016	GB	7.02
2017	BE	8.72
2017	BG	5.51
2017	CZ	5.42
2017	DK	6.52
2017	DE	7.22
2017	EE	3.28
2017	IE	8.43
2017	GR	4
2017	ES	2.85
2017	FR	7.06
2017	HR	5.31
2017	IT	4.99
2017	CY	1.87
2017	LV	3.71
2017	LT	4.19
2017	LU	5.5
2017	HU	5.61
2017	NL	8.71
2017	AT	6.51
2017	PL	4.08
2017	PT	4.29
2017	RO	3.93
2017	SI	5.92
2017	SK	5.06
2017	FI	3.53
2017	SE	5.61
2017	GB	7.27
